question,answer,generate_answer
"Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ định hướng Động lực học, Điều khiển và Cơ khí Hàng không tại Trường Đại học Công nghệ cần thành thạo kỹ năng gì về cơ khí?","Thành thạo các kỹ năng về cơ khí chế tạo, động lực học và mô hình hóa mô phỏng các thiết bị và hoạt động trong kỹ thuật hàng không vũ trụ, phân tích dữ liệu và nhận dạng hệ thống.",Không biết
Sinh viên tốt nghiệp ngành Kỹ thuật năng lượng có thể làm việc ở vị trí nào liên quan đến năng lượng tái tạo?,"Vị trí phát triển và triển khai các nguồn năng lượng tái tạo như năng lượng mặt trời, năng lượng gió, năng lượng từ nước, hay năng lượng sinh học.","- Phát triển và triển khai các nguồn năng lượng tái tạo như năng lượng mặt trời, năng lượng gió, năng lượng từ nước, hay năng lượng sinh học."
Kỹ sư quản lý năng lượng làm gì?,Phân tích và cải thiện hiệu suất năng lượng của các hệ thống và đề xuất các biện pháp tiết kiệm năng lượng.,Kỹ sư quản lý năng lượng đảm bảo việc chuyển giao năng lượng từ các nguồn sản xuất đến người dùng cuối cùng một cách hiệu quả và ổn định. Vị trí này quản lý các dự án năng lượng từ khâu lập kế hoạch
Kỹ sư năng lượng đảm bảo điều gì trong hệ thống truyền tải và phân phối năng lượng?,Đảm bảo việc chuyển giao năng lượng từ các nguồn sản xuất đến người dùng cuối cùng một cách hiệu quả và ổn định.,Kỹ sư năng lượng đảm bảo việc chuyển giao năng lượng từ các nguồn sản xuất đến người dùng cuối cùng một cách hiệu quả và ổn định. 
Kỹ sư chuyên ngành quản lý dự án năng lượng có trách nhiệm gì?,Phối hợp với các bộ phận liên quan để đảm bảo các dự án được hoàn thành đúng tiến độ và đạt được hiệu quả kinh tế.,Kỹ sư chuyên ngành quản lý dự án năng lượng có trách nhiệm phối hợp với các bộ phận liên quan để đảm bảo các dự án được hoàn thành đúng tiến độ và đạt được hiệu quả kinh tế. 
Chuyên viên nghiên cứu và phát triển năng lượng làm việc ở đâu?,"Trong các trung tâm nghiên cứu, trường đại học hoặc các công ty công nghệ.","Chuyên viên nghiên cứu và phát triển năng lượng thường làm việc trong các trung tâm nghiên cứu, trường đại học hoặc các công ty công nghệ. "
Sinh viên tốt nghiệp ngành Kỹ thuật năng lượng có thể đảm nhiệm vị trí giảng viên ở đâu?,Tại các cơ sở giáo dục đào tạo phổ thông và đại học.,Tôi không biết
Người học sau tốt nghiệp ngành Kỹ thuật năng lượng thường làm việc ở đâu trong lĩnh vực tư vấn năng lượng?,Trong các công ty tư vấn hoặc công ty năng lượng.,"Người học sau tốt nghiệp ngành Kỹ thuật năng lượng thường làm việc trong các công ty tư vấn hoặc công ty năng lượng, cung cấp dịch vụ tư vấn về tiết kiệm năng lượng, cải thiện hiệu suất năng lượng và đưa ra các giải"
Kỹ sư ngành Kỹ thuật năng lượng có thể học lên bậc cao học ở những chuyên ngành nào?,"Các chuyên ngành về năng lượng tái tạo, năng lượng truyền thống, vật liệu và linh kiện, khoa học vật liệu, vật lí ứng dụng…","Kỹ sư ngành Kỹ thuật năng lượng có thể học lên bậc cao học ở các chuyên ngành liên quan đến năng lượng mới, vật liệu và linh kiện nano, vật liệu điện tử, và các chuyên ngành khác như năng lượng"
PLO1 của ngành Kỹ thuật năng lượng đề cập đến kiến thức gì?,"Kiến thức cơ bản về khoa học xã hội, về khoa học chính trị và pháp luật; về văn hóa, xã hội và nhân văn; về rèn luyện thể chất và quốc phòng.",Không biết
PLO2 của ngành Kỹ thuật năng lượng đề cập đến kiến thức gì?,"Kiến thức cơ bản của Toán học, khoa học cơ bản, và CNTT để giải quyết các bài toán liên quan đến lĩnh vực kỹ thuật.",Không biết
PLO3 của ngành Kỹ thuật năng lượng đề cập đến kiến thức gì?,Kiến thức cơ bản về quản lý điều hành hoạt động chuyên môn.,PLO3: Vận dụng được kiến thức cơ bản về quản lý điều hành hoạt động chuyên môn.
PLO10 của ngành Kỹ thuật năng lượng yêu cầu trình độ tiếng Anh như thế nào?,Tương đương trình độ bậc 3 (theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam).,PLO10: Có trình độ tiếng Anh tương đương trình độ bậc 3 (theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam). 
PLO11 của ngành Kỹ thuật năng lượng yêu cầu khả năng gì?,"Có khả năng đề xuất giải pháp về lĩnh vực kỹ thuật Năng lượng bằng cách áp dụng các kiến thức khoa học, CNTT, các công cụ và công nghệ hiện đại.","PLO11: Có khả năng đề xuất giải pháp về lĩnh vực kỹ thuật Năng lượng bằng cách áp dụng các kiến thức khoa học, CNTT, các công cụ và công nghệ hiện đại. "
PLO13 của ngành Kỹ thuật năng lượng yêu cầu khả năng gì?,"Có khả năng xây dựng kế hoạch và quản lý tiết kiệm năng lượng của mạng lưới phân phối và công ty, thiết kế và vận hành hệ thống cung cấp điện và năng lượng nhiệt và giải quyết các nhiệm vụ tài chính.","PLO13: Có khả năng xây dựng kế hoạch và quản lý tiết kiệm năng lượng của mạng lưới phân phối và công ty, thiết kế và vận hành hệ thống cung cấp điện và năng lượng nhiệt và giải quyết các nhiệm vụ tài"
PLO19 của ngành Kỹ thuật năng lượng đề cập đến điều gì?,"Chủ động tuân thủ pháp luật, đạo đức nghề nghiệp; thể hiện (có) tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp",Không biết
Chương trình đào tạo ngành Công nghệ Nông nghiệp yêu cầu bao nhiêu tín chỉ?,151 tín chỉ,"Chương trình đào tạo ngành Công nghệ Nông nghiệp yêu cầu tổng cộng 151 tín chỉ, bao gồm:"
Khối kiến thức chung của chương trình đào tạo ngành Công nghệ Nông nghiệp gồm bao nhiêu tín chỉ?,16 tín chỉ,21 tín chỉ
Học phần Triết học Mác - Lênin thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Nông nghiệp?,Khối kiến thức chung,Không biết
Học phần Kinh tế chính trị Mác - Lênin có mã học phần tiên quyết là gì?,PHI1006,PHI1006
Học phần Nhập môn Công nghệ Nông nghiệp thuộc khối kiến thức nào?,Khối kiến thức theo khối ngành,Học phần Nhập môn Công nghệ Nông nghiệp (AGT2000) thuộc khối kiến thức theo khối ngành. 
Khối kiến thức theo nhóm ngành của chương trình đào tạo ngành Công nghệ Nông nghiệp có bao nhiêu tín chỉ bắt buộc?,24 tín chỉ,19
Học phần Kỹ thuật điện và điện tử thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Nông nghiệp?,Khối kiến thức theo nhóm ngành,Không biết
Học phần Kỹ thuật điều khiển có mã học phần tiên quyết là gì?,ELT2035,Không biết
Học phần Cơ sở dữ liệu có mã học phần tiên quyết là gì?,INT1008,Không biết
Khối kiến thức ngành của chương trình đào tạo ngành Công nghệ Nông nghiệp có tổng cộng bao nhiêu tín chỉ?,68 tín chỉ,16 tín
Học phần Hệ sinh thái nông nghiệp và nông nghiệp bền vững thuộc khối kiến thức nào?,Khối kiến thức ngành,Không biết
Học phần Lập trình hướng đối tượng thuộc định hướng chuyên sâu nào?,Nông nghiệp kỹ thuật số,|  | Row 57: 45. | INT2204 | Lập trình hướng đối tượngObject-Oriented Programming | 3 | 30 | 15 |  | INT1008
Học phần Công nghệ sinh học phân tử thuộc định hướng chuyên sâu nào?,Công nghệ sinh học Nông nghiệp,AGT3120 | Công nghệ sinh học phân tửMolecular Biology Technology | 4 | 45 | 15 |  | AGT2103AGT2111 Row 56: 4
Học phần Thực tập Công nghệ Nông nghiệp có bao nhiêu tín chỉ?,3 tín chỉ,Không biết
Học phần Đồ án tốt nghiệp có bao nhiêu giờ tự học?,150 giờ,Tôi không biết
Tên tiếng Việt của ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,Hệ thống thông tin,Information Systems
Tên tiếng Anh của ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,Information Systems,4 năm
Mã số đào tạo của ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,7480104,7480104
Danh hiệu tốt nghiệp của sinh viên ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,Cử nhân,Cử nhân Hệ thống thông tin (Chương trình đào tạo chất lượng cao) 
Thời gian đào tạo ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là bao lâu?,4 năm,Thời gian đào tạo ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là 4 năm. 
Sinh viên tốt nghiệp ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ nhận văn bằng gì?,Cử nhân Hệ thống thông tin,Cử nhân Hệ thống thông tin (Chương trình đào tạo chất lượng cao) 
Chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ thuộc hệ đào tạo nào?,Chất lượng cao,Chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ thuộc hệ đào tạo chất lượng cao. 
Mục tiêu của chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,Đào tạo nhân lực chất lượng cao và bồi dưỡng nhân tài trình độ đại học ngành HTTT trong thời đại số hóa.,Mục tiêu của chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là đào tạo toàn diện cả về chuyên môn lẫn phẩm chất nhân lực chất lượng cao và bồi dưỡng nhân tài trình độ đại
Chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ định hình theo mấy hướng chuyên sâu?,Hai,Chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ định hình theo 3 hướng chuyên sâu:
Hai hướng chuyên sâu của chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là gì?,Tích hợp dịch vụ và quản lý dữ liệu lớn và Khoa học dữ liệu và phân tích kinh doanh,Tôi không biết
Hình thức tuyển sinh của Trường Đại học Công nghệ đối với ngành Hệ thống thông tin (CLC TT23) như thế nào?,Theo quy định của Đại học Quốc gia Hà Nội.,"Hình thức tuyển sinh: Theo quy định của Đại học Quốc gia Hà Nội. Dự kiến quy mô tuyển sinh: Theo phân bố chỉ tiêu hàng năm của Đại học Quốc gia Hà Nội và Trường Đại học Công nghệ, dự kiến tuyển 6"
Dự kiến quy mô tuyển sinh hàng năm của ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ là bao nhiêu?,60 sinh viên/năm.,Không biết
Chương trình Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ trang bị kỹ năng giao tiếp tiếng Anh ở bậc nào?,Bậc 4/6 theo khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.,Tôi không biết
Sinh viên tốt nghiệp ngành Hệ thống thông tin (CLC TT23) tại Trường Đại học Công nghệ cần có phẩm chất đạo đức như thế nào?,"Tinh thần trách nhiệm với bản thân, gia đình, tổ chức và xã hội, về tinh thần phụng sự đất nước Việt Nam phát triển phồn vinh và hạnh phúc.",- Trung thực;
Trường Đại học Công nghệ thuộc đại học quốc gia nào?,Trường Đại học Công nghệ thuộc Đại học Quốc gia Hà Nội.,Trường Đại học Công nghệ thuộc Đại học Quốc gia Hà Nội (ĐHQGHN). 
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kiến thức cơ bản về lĩnh vực nào?,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kiến thức cơ bản về khoa học xã hội, khoa học chính trị và pháp luật.","Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kiến thức cơ bản về các nguyên lý cơ bản, các quy luật tự nhiên và xã hội trong lĩnh vực được đào tạo để phát triển kiến thức mới"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể vận dụng kiến thức về lĩnh vực nào để giải quyết bài toán kỹ thuật?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể vận dụng kiến thức về khoa học cơ bản và CNTT để giải quyết bài toán kỹ thuật.,Tôi không biết
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể sử dụng kiến thức chuyên sâu về lĩnh vực nào để thiết kế hệ thống?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể sử dụng kiến thức chuyên sâu về điện tử và viễn thông để thiết kế hệ thống.,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể sử dụng kiến thức chuyên sâu về Hệ thống cơ điện tử để thiết kế hệ thống. Cụ thể, sinh viên biết và sử dụng thành thạo"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng gì để phát hiện và mô tả vấn đề?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng áp dụng kiến thức khoa học và CNTT để phát hiện và mô tả vấn đề.,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng phát hiện, mô tả, phản biện vấn đề và đề xuất giải pháp về lĩnh vực chuyên môn bằng cách áp dụng các kiến thức khoa"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng gì trong việc giao tiếp?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng giao tiếp hiệu quả với nhiều đối tượng.,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng giao tiếp tốt. Cụ thể, theo PO3 (Phương thức đánh giá 3) trong ngữ cảnh, sinh viên cần"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng ngoại ngữ tương đương trình độ nào?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có kỹ năng ngoại ngữ tương đương trình độ 3/6 Khung năng lực ngoại ngữ Việt Nam.,Tôi không biết
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có ý thức như thế nào đối với cộng đồng?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần có ý thức đóng góp tạo ra những sản phẩm có giá trị phục vụ cộng đồng.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần tuân thủ điều gì trong công việc?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông cần tuân thủ pháp luật và đạo đức nghề nghiệp.,Không có thông tin cụ thể trong ngữ cảnh về những điều cần tuân thủ trong công việc của sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông. 
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể đảm nhiệm vị trí việc làm nào liên quan đến thiết kế?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể đảm nhiệm vị trí kỹ sư thiết kế các sản phẩm điện tử viễn thông.,"- Kỹ sư thiết kế các sản phẩm trong các lĩnh vực liên quan đến Điện tử Viễn thông như Mạng, Truyền thông, Xử lý tín hiệu, Điện tử y sinh, Vi điện tử, Hệ thống nhúng, Hệ"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể đảm nhiệm vị trí việc làm nào liên quan đến quản lý?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể đảm nhiệm vị trí quản lý dự án kinh doanh hoặc dự án kỹ thuật.,Sinh
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể học sau đại học chuyên ngành nào?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể học sau đại học chuyên ngành Kỹ thuật điện tử.,"- Kỹ sư thiết kế, kinh doanh, vận hành, khai thác, tư vấn các sản phẩm trong các lĩnh vực liên quan đến Điện tử Viễn thông như Mạng, Truyền thông, Xử lý tín hiệu,"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực nào liên quan đến IoT?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực IoT.,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực IoT (Internet of Things) với các vị trí như:
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực nào liên quan đến xử lý tín hiệu?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực xử lý tín hiệu.,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực xử lý tín hiệu. Cụ thể, họ có thể trở thành kỹ sư thiết kế, kinh doanh, vận hành"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực nào liên quan đến điện tử y sinh?,Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực điện tử y sinh.,"Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật Điện tử - Viễn thông có thể làm việc trong lĩnh vực điện tử y sinh. Cụ thể, họ có thể trở thành kỹ sư thiết kế, vận hành, khai thác,"
Tên chương trình đào tạo được mô tả trong văn bản này là gì?,Chương trình đào tạo ngành Kỹ thuật Robot.,"Chương trình đào tạo ngành Cơ kỹ thuật - Trường Đại học Công nghệ, ĐHQGHN - Univeristy of Engineering and Technology"
Chương trình đào tạo ngành Kỹ thuật Robot thuộc trường đại học nào?,"Trường Đại học Công nghệ, ĐHQGHN.",
Tổng số tín chỉ của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,150 tín chỉ.,Tổng số tín chỉ của chương trình đào tạo ngành Kỹ thuật Robot là 150 tín chỉ.
Số tín chỉ khối kiến thức chung của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,21 tín chỉ.,21 tín chỉ
Số tín chỉ khối kiến thức theo lĩnh vực của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,19 tín chỉ.,21 tín chỉ
Số tín chỉ khối kiến thức theo khối ngành của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,10 tín chỉ.,80 tín chỉ
Số tín chỉ khối kiến thức theo nhóm ngành của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,31 tín chỉ.,80 tín chỉ
Số tín chỉ khối kiến thức ngành của chương trình đào tạo ngành Kỹ thuật Robot là bao nhiêu?,69 tín chỉ.,Số tín chỉ khối kiến thức ngành của chương trình đào tạo ngành Kỹ thuật Robot là 80 tín chỉ. 
Sinh viên ngành Kỹ thuật Robot phải hoàn thành bao nhiêu tín chỉ học phần bắt buộc?,38 tín chỉ.,6 tín chỉ
Sinh viên ngành Kỹ thuật Robot được chọn bao nhiêu tín chỉ học phần tự chọn?,12/20 tín chỉ.,6 tín chỉ
Sinh viên ngành Kỹ thuật Robot phải hoàn thành bao nhiêu tín chỉ khối kiến thức thực tập và tốt nghiệp?,13 tín chỉ.,21 tín chỉ
